Property Name,Address,Total Rent,Bed,Bath,Move-In Date,Property Manager,Available Units,Neighborhood,Commission Paid
2402 Rio Grande,2402 Rio Grande St Apt 5 ,"$1,000",0,1,07/30/21,512 Living,5,West Campus,30-60 Days Post Paperwork Completion
2402 Rio Grande,2402 Rio Grande St Apt 6 ,"$1,000",0,1,07/30/21,512 Living,6,West Campus,30-60 Days Post Paperwork Completion
2402 Rio Grande,2402 Rio Grande St Apt 7 ,"$1,000",0,1,07/30/21,512 Living,7,West Campus,30-60 Days Post Paperwork Completion
Studio 34,302 E 34th St Apt 201 ,"$1,000",0,1,08/06/21,512 Living,201,North Campus,30-60 Days Post Paperwork Completion
4312 Duval Street,4312 Duval Street,"$1,200",1,1,08/02/21,Copland/Said,103,Hyde Park,30-60 Days Post Paperwork Completion
4312 Duval Street,4312 Duval Street,"$1,200",1,1,08/02/21,Copland/Said,102,Hyde Park,30-60 Days Post Paperwork Completion
4312 Duval Street,4312 Duval Street,"$1,225",1,1,07/17/21,Copland/Said,203,Hyde Park,30-60 Days Post Paperwork Completion
4312 Duval Street,4312 Duval Street,"$1,225",1,1,08/02/21,Copland/Said,202,Hyde Park,30-60 Days Post Paperwork Completion
Escala,1000 W. 26th St,"$1,000",0,1,08/01/21,PMT,212,West Campus,30-60 Days Post Paperwork Completion
4312 Duval Street,4312 Duval Street,"$1,225",1,1,06/01/21,Copland/Said,201,Hyde Park,30-60 Days Post Paperwork Completion
4312 Duval Street,4312 Duval Street,"$1,250",1,1,Immediate,Copland/Said,205,Hyde Park,30-60 Days Post Paperwork Completion
4312 Duval Street,4312 Duval Street,"$1,250",1,1,08/03/21,Copland/Said,107,Hyde Park,30-60 Days Post Paperwork Completion
611 West 37th,611 West 37th,"$1,000",1,1,08/17/21,University Realty,B,North Campus,30-60 Days Post Paperwork Completion
Ridgetop,304 E 33rd St,"$1,000",1,1,08/07/21,Uptown Realty,20,North Campus,30-60 Days Post Paperwork Completion
Treehouse Condos,202 E 45th,"$1,295",1,1,08/10/21,Tower Realty,203,Hyde Park,30-60 Days Post Paperwork Completion
Salado Place ,2604 Salado,"$1,000",1,1,Immediate,PMT,303,West Campus,30-60 Days Post Paperwork Completion
2210 Pearl,2210 Pearl,"$1,000",1,1,07/26/21,PMT,203,West Campus,30-60 Days Post Paperwork Completion
301 West 38th Street,301 West 38th Street,$995,0,1,08/04/21,Copland/Said,109,North Campus,30-60 Days Post Paperwork Completion
Escala,1000 W 26th St,$995,0,1,08/10/21,Tower Realty,102,West Campus,30-60 Days Post Paperwork Completion
Escala,1000 W 26th St,$995,0,1,08/10/21,Tower Realty,106,West Campus,30-60 Days Post Paperwork Completion
Escala,1000 W 26th St,$995,0,1,08/10/21,Tower Realty,110,West Campus,30-60 Days Post Paperwork Completion
Escala,1000 W 26th St,$995,0,1,08/10/21,Tower Realty,112,West Campus,30-60 Days Post Paperwork Completion
Escala,1000 W 26th St,$995,0,1,08/10/21,Tower Realty,114,West Campus,30-60 Days Post Paperwork Completion
Escala,1000 W 26th St,$995,0,1,08/10/21,Tower Realty,118,West Campus,30-60 Days Post Paperwork Completion
Escala,1000 W 26th St,$995,0,1,08/10/21,Tower Realty,120,West Campus,30-60 Days Post Paperwork Completion
Continental Flats,1013 W 23rd,$995,0,1,08/10/21,24th Street Realty,"101, 102, 103, 104, 105, 201, 202, 203",West Campus,30-60 Days Post Paperwork Completion
San Gabriel West,1905 San Gabriel,$995,1,1,08/10/21,Tower Realty,103,West Campus,30-60 Days Post Paperwork Completion
Gazebo,2815 Rio Grande,$995,1,1,08/10/21,Tower Realty,101,West Campus,30-60 Days Post Paperwork Completion
Gazebo,2815 Rio Grande,$995,1,1,08/10/21,Tower Realty,104,West Campus,30-60 Days Post Paperwork Completion
Gazebo,2815 Rio Grande,$995,1,1,08/10/21,Tower Realty,109,West Campus,30-60 Days Post Paperwork Completion
Gazebo,2815 Rio Grande,$995,1,1,08/10/21,Tower Realty,110,West Campus,30-60 Days Post Paperwork Completion
Gazebo,2815 Rio Grande ,$995,1,1,08/10/21,Tower Realty,105,West Campus,30-60 Days Post Paperwork Completion
Shadow Tree,3206 King St,$995,1,1,08/10/21,Tower Realty,203,North Campus,30-60 Days Post Paperwork Completion
Guadalupe Square,3316 Guadalupe,$995,1,1,08/10/21,Tower Realty,201,North Campus,30-60 Days Post Paperwork Completion
Guadalupe Square,3316 Guadalupe,$995,1,1,08/10/21,Tower Realty,311,North Campus,30-60 Days Post Paperwork Completion
Guadalupe Square,3316 Guadalupe,$995,1,1,08/10/21,Tower Realty,313,North Campus,30-60 Days Post Paperwork Completion
Guadalupe Square,3316 Guadalupe,$995,1,1,08/10/21,Tower Realty,321,North Campus,30-60 Days Post Paperwork Completion
Salado Place ,2604 Salado,$995,1,1,August-21,Metro Realty,204,West Campus,30-60 Days Post Paperwork Completion
Gazebo,2815 Rio Grande,$995,1,1,08/15/21,Austin Manage,103,West Campus,30-60 Days Post Paperwork Completion
Hyde Park Townhomes,303 W 40th St,$995,1,1,07/27/21,24th Street Realty,"103, 108",North Campus,30-60 Days Post Paperwork Completion
Ridgetop,304 E 33rd St,$995,1,1,08/04/21,Uptown Realty,12,North Campus,30-60 Days Post Paperwork Completion
Villa Arcos,3301 Speedway,$995,1,1,08/08/21,UT Student Condos,106,North Campus,30-60 Days Post Paperwork Completion
Villa Arcos,3301 Speedway,$995,1,1,08/08/21,UT Student Condos,107,North Campus,30-60 Days Post Paperwork Completion
Escala,1000 W 26th St,$995,0,1,08/10/21,Tower Realty,108,West Campus,30-60 Days Post Paperwork Completion
Castle Arms,3121 Speedway,$975 ,0,1,08/18/21,Marquis,216,North Campus,30-60 Days Post Paperwork Completion
Barranca Square,910 W 26th St,$975,1,1,08/21/21,The Westside Group,1-1,West Campus,30-60 Days Post Paperwork Completion
Montage,2812 Rio Grande,$975,1,1,08/21/21,The Westside Group,1-1,West Campus,30-60 Days Post Paperwork Completion
House/Duplex,1020 Ellingson Ln Unit B ,"$1,300",1,1,07/22/21,512 Living,B,Hyde Park,30-60 Days Post Paperwork Completion
906 W 22nd St,906 W 22nd St,$965,0,1,08/07/21,512 Living,2,West Campus,30-60 Days Post Paperwork Completion
Mark V,3914 Avenue D Apt 104 ,"$1,300",1,1,07/23/21,512 Living,104,Hyde Park,30-60 Days Post Paperwork Completion
Escala,1000 W. 26th St,$950,0,1,08/01/21,PMT,214,West Campus,30-60 Days Post Paperwork Completion
Gazebo ,2815 Rio Grande,$950,1,1,08/10/21,Tower Realty,114,West Campus,30-60 Days Post Paperwork Completion
Gazebo,2815 Rio Grande ,$950,1,1,08/10/21,Tower Realty,102,West Campus,30-60 Days Post Paperwork Completion
Mark V,3914 Avenue D Apt 107,"$1,300",1,1,06/11/21,512 Living,107,Hyde Park,30-60 Days Post Paperwork Completion
Mark V,3914 Avenue D Apt 205 ,"$1,300",1,1,10/15/21,512 Living,205,Hyde Park,30-60 Days Post Paperwork Completion
Mark V,3914 Avenue D Apt 207,"$1,325",1,1,11/04/21,512 Living,207,Hyde Park,30-60 Days Post Paperwork Completion
Shadow Hill,2404 Longview,$950,1,1,08/13/21,University Realty,205,West Campus,30-60 Days Post Paperwork Completion
Bungalows,2703 Swisher,$950,1,1,08/11/21,University Realty,A100,North Campus,30-60 Days Post Paperwork Completion
Mark V,3914 Avenue D Apt 105 ,"$1,375",1,1,08/13/21,512 Living,105,Hyde Park,30-60 Days Post Paperwork Completion
Mark V,3914 Avenue D Apt 204 ,"$1,400",1,1,07/31/21,512 Living,204,Hyde Park,30-60 Days Post Paperwork Completion
Oasis At Midtown,2301 Olhen Rd,$950,1,1,Immediate,Austin Manage,104,North Austin,30-60 Days Post Paperwork Completion
Hyde Park Oaks,114 E 31st St,"$1,400",1,1,08/06/21,PMT,314,Hyde Park,30-60 Days Post Paperwork Completion
Ridgetop,304 E 33rd St,$950,1,1,08/01/21,PMT,6,North Campus,30-60 Days Post Paperwork Completion
West Campus Flats,2102-06 San Gabriel,$925,0,1,08/21/21,The Westside Group,Studio,West Campus,30-60 Days Post Paperwork Completion
