Property Name,Address,Total Rent,Bed,Bath,Move-In Date,Property Manager,Available Units,Neighborhood,Commission Paid
1505 E 14th St,1505 E 14th St,"$3,995",6,5,08/07/21,Respace,House,East Austin,30-60 Days Post Paperwork Completion
4520 Speedway #A,4520 Speedway #A,"$3,995",6,3,08/07/21,Respace,A,Hyde Park,30-60 Days Post Paperwork Completion
4520 Speedway #B,4520 Speedway #B,"$3,995",6,3,08/07/21,Respace,B,Hyde Park,30-60 Days Post Paperwork Completion
2809 Rio Grande,2809 Rio Grande,"$3,940",4,2,08/20/21,University Realty,B,West Campus,30-60 Days Post Paperwork Completion
2809 Rio Grande,2809 Rio Grande,"$3,940",4,2,08/20/21,University Realty,E,West Campus,30-60 Days Post Paperwork Completion
3411 Cedar,3411 Cedar,"$3,900",5,3,08/07/21,Uptown Realty,A,North Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$3,895",4,2,08/12/21,Respace,603,West Campus,30-60 Days Post Paperwork Completion
5501 Duval #A,5501 Duval #A,"$3,875",5,3.5,08/07/21,Respace,A,North Loop,30-60 Days Post Paperwork Completion
5304 Evans,5304 Evans,"$3,850",5,5.5,08/10/21,24th Street Realty,A,North Loop,30-60 Days Post Paperwork Completion
2606 Salado St,2606 Salado St,"$3,800",4,2,08/07/21,Respace,302,West Campus,30-60 Days Post Paperwork Completion
Galileo,910 W. 25th,"$3,800",4,3,August-21,Metro Realty,603,West Campus,30-60 Days Post Paperwork Completion
707 E 47th St,707 E 47th St,"$3,800",5,3,08/07/21,Copland/Said,B,Hyde Park,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$3,695",4,2,08/12/21,Respace,608,West Campus,30-60 Days Post Paperwork Completion
Duval Condo,3200 Duval ,"$3,650",4,3,08/10/21,Tower Realty,105,North Campus,30-60 Days Post Paperwork Completion
2502 Leon St,2502 Leon St,"$3,600",4,2,08/03/21,Respace,212,West Campus,30-60 Days Post Paperwork Completion
2606 Salado St,2606 Salado St,"$3,600",4,2,08/07/21,Respace,301,West Campus,30-60 Days Post Paperwork Completion
Texan Shoal Creek,2502 Leon,"$3,600",4,2,08/07/21,UT Condo (Larry Wu),212,West Campus,30-60 Days Post Paperwork Completion
4517 Speedway,4517 Speedway,"$3,595",4,3,08/07/21,Respace,"A, B",Hyde Park,30-60 Days Post Paperwork Completion
106 Franklin,106 Franklin,"$3,500",4,2.5,08/10/21,24th Street Realty,A,North Loop,30-60 Days Post Paperwork Completion
2503 Hartford Rd,2503 Hartford Rd,"$3,500",3,2,08/01/21,512 Living,A,Pemberton,30-60 Days Post Paperwork Completion
2503 Hartford Rd,2503 Hartford Rd,"$3,500",3,2,08/01/21,512 Living,B,Pemberton,30-60 Days Post Paperwork Completion
2917 E 16th #A,2917 E 16th #A,"$3,495",4,2,08/07/21,Respace,A,East Campus,30-60 Days Post Paperwork Completion
3410 Speedway,3410 Speedway,"$3,495",4,2,08/07/21,Respace,A,North Campus,30-60 Days Post Paperwork Completion
4420 Red River,4420 Red River,"$3,495",4,3,08/02/21,Respace,B,North Campus,30-60 Days Post Paperwork Completion
Boardwalk at Robbins,1905 Robbins Place,"$3,475",3,3,07/25/22,Boardwalk at Robbins,602,West Campus,30-60 Days Post Paperwork Completion
Boardwalk at Robbins,1905 Robbins Place,"$3,475",3,2,07/25/22,Boardwalk at Robbins,603,West Campus,30-60 Days Post Paperwork Completion
House/Duplex,1020 Ellingson Ln Unit A,"$3,400",4,2,07/22/21,512 Living,A,Hyde Park,30-60 Days Post Paperwork Completion
919 Keith,919 Keith,"$3,400",4,2,08/18/21,University Realty,House,North Campus,30-60 Days Post Paperwork Completion
5405 Avenue H,5405 Avenue H,"$3,400",4,2.5,August-21,Metro Realty,A,North Austin,30-60 Days Post Paperwork Completion
720 Harris Avenue,720 Harris Avenue,"$3,400",3,2,08/01/21,Copland/Said,A,North Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$3,395",4,2,08/12/21,Respace,605,West Campus,30-60 Days Post Paperwork Completion
2304 Leon C,2304 Leon,"$3,300",4,2,August-21,Metro Realty,C,West Campus,30-60 Days Post Paperwork Completion
Sandstone ,2410 Leon,"$3,300",4,3,August-21,Metro Realty,103,West Campus,30-60 Days Post Paperwork Completion
Treehouse ,2612 San Pedro,"$3,300",4,2,August-21,Metro Realty,206,West Campus,30-60 Days Post Paperwork Completion
Galileo ,910 W 25th,"$3,300",3,3,08/10/21,Tower Realty,503,West Campus,30-60 Days Post Paperwork Completion
Galileo ,910 W 25th,"$3,300",3,3,08/10/21,Tower Realty,403,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 113 ,"$3,280",4,4,08/07/21,512 Living,113,West Campus,30-60 Days Post Paperwork Completion
2304 Leon B,2304 Leon ,"$3,250",4,2,August-21,Metro Realty,B,West Campus,30-60 Days Post Paperwork Completion
2304 Leon D,2304 Leon ,"$3,250",4,2,August-21,Metro Realty,D,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 206 ,"$3,240",4,4,08/06/21,512 Living,206,West Campus,30-60 Days Post Paperwork Completion
2823 San Pedro,2823 San Pedro,"$3,200",4,2,08/10/21,Tower Realty,House,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 217 ,"$3,200",4,4,08/06/21,512 Living,217,West Campus,30-60 Days Post Paperwork Completion
2304 Leon A,2304 Leon ,"$3,200",4,2,August-21,Metro Realty,A,West Campus,30-60 Days Post Paperwork Completion
4124 Berkman,4124 Berkman Dr,"$3,200",3,2,07/07/21,Austin Manage,House,East Austin,30-60 Days Post Paperwork Completion
501 W 55 1/2 ,501 W 55 1/2 ,"$3,195",5,2,08/07/21,Respace,House,North Loop,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 306 ,"$3,160",4,4,08/06/21,512 Living,306,West Campus,30-60 Days Post Paperwork Completion
San Pedro Flats,2708 San Pedro,"$3,150",3,2,08/10/21,Tower Realty,201,West Campus,30-60 Days Post Paperwork Completion
2301 Rio Grande,2301 Rio Grande,"$3,100",4,2,08/19/21,University Realty,House,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 308 ,"$3,080",4,4,08/06/21,512 Living,308,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 106 ,"$3,040",4,4,08/07/21,512 Living,106,West Campus,30-60 Days Post Paperwork Completion
205 West 55th Street,205 West 55th Street,"$3,000",4,2,08/07/21,Copland/Said,House,North Loop,30-60 Days Post Paperwork Completion
2201 E. 18th,2201 E. 18th,"$3,000",4,3.5,08/03/21,24th Street Realty,A,East Campus,30-60 Days Post Paperwork Completion
2206 Pennsylvania,2206 Pennsylvania,"$3,000",4,3.5,08/03/21,24th Street Realty,A,East Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 117 ,"$3,000",4,4,08/07/21,512 Living,117,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 304 ,"$3,000",4,4,08/06/21,512 Living,304,West Campus,30-60 Days Post Paperwork Completion
609 Franklin,609 Franklin,"$3,000",4,2.5,08/07/21,Housing Scout,A,West Campus,30-60 Days Post Paperwork Completion
2505 San Gabriel Street,2505 San Gabriel Street,"$3,000",3,2,08/07/21,Copland/Said,600,West Campus,30-60 Days Post Paperwork Completion
Cenntenial,501 West 26th Street,"$3,000",3,2,08/07/21,Copland/Said,216,West Campus,30-60 Days Post Paperwork Completion
Galileo,910 W 25th St,"$3,000",3,3,08/03/21,24th Street Realty,303,West Campus,30-60 Days Post Paperwork Completion
Texan Tower,2505 San Gabriel,"$3,000",3,2,08/10/21,Tower Realty,604,West Campus,30-60 Days Post Paperwork Completion
3304 Tom Green,3304 Tom Green,"$2,995",4,2,08/07/21,Respace,A,North Campus,30-60 Days Post Paperwork Completion
912 E. 51st,912 E. 51st,"$2,995",4,2,August-21,Metro Realty,House,Hyde Park,30-60 Days Post Paperwork Completion
704 W North Loop,704 W North Loop,"$2,995",4,2,08/07/21,Respace,B,North Loop,30-60 Days Post Paperwork Completion
Boardwalk at Robbins,1905 Robbins Place,"$2,988",3,2,07/25/22,Boardwalk at Robbins,504,West Campus,30-60 Days Post Paperwork Completion
2809 Rio Grande,2809 Rio Grande,"$2,955",3,2,08/20/21,University Realty,A,West Campus,30-60 Days Post Paperwork Completion
2809 Rio Grande,2809 Rio Grande,"$2,955",3,2,08/20/21,University Realty,F,West Campus,30-60 Days Post Paperwork Completion
Centennial,501 W 26th St ,"$2,950",3,2,08/10/21,Tower Realty,116,West Campus,30-60 Days Post Paperwork Completion
Gateway,3004 Speedway,"$2,950",3,2,August-21,Metro Realty,8,North Campus,30-60 Days Post Paperwork Completion
910 W 25th,910 W 25th,"$2,950",3,2,08/07/21,Respace,306,West Campus,30-60 Days Post Paperwork Completion
Waterford ,2401 Leon,"$2,900",4,2,August-21,Metro Realty,309,West Campus,30-60 Days Post Paperwork Completion
2905 Robinson A,2905 Robinson,"$2,900",4,2,August-21,Metro Realty,A,East Austin,30-60 Days Post Paperwork Completion
Centennial,501 W. 26 St,"$2,900",3,2,08/14/21,University Realty,122,West Campus,30-60 Days Post Paperwork Completion
Park Place,1023 W 24th,"$2,895",4,2,08/03/21,Uptown Realty,702,West Campus,30-60 Days Post Paperwork Completion
4501 Leslie,4501 Leslie,"$2,895",3,2.5,Immediate,Respace,House,East Campus,30-60 Days Post Paperwork Completion
2910 Pearl,2910 Pearl,"$2,875",3,2,08/04/21,Housing Scout,A,West Campus,30-60 Days Post Paperwork Completion
2612 San Pedro St,2612 San Pedro St,"$2,850",3,2,08/07/21,Copland/Said,112,West Campus,30-60 Days Post Paperwork Completion
Galileo,910 W 25th St,"$2,850",3,2,08/05/21,512 Living,205,West Campus,30-60 Days Post Paperwork Completion
Galileo,910 W 25th St,"$2,850",3,2,08/05/21,512 Living,408,West Campus,30-60 Days Post Paperwork Completion
308 Moore,308 Moore,"$2,800",2,2,08/07/21,Respace,B,North Campus,30-60 Days Post Paperwork Completion
San Gabriel Place ,1003 W. 26th,"$2,800",4,2,August-21,Metro Realty,303,West Campus,30-60 Days Post Paperwork Completion
Pecan Walk,3506 Speedway,"$2,800",4,2,August-21,Metro Realty,301,North Campus,30-60 Days Post Paperwork Completion
Pecan Walk ,3506 Speedway,"$2,800",4,2,August-21,Metro Realty,305,North Campus,30-60 Days Post Paperwork Completion
825 Harris Ave,825 Harris Ave,"$2,800",4,2,08/06/21,PMT,House,West Campus,30-60 Days Post Paperwork Completion
Boardwalk,2405 Leon,"$2,800",3,2,08/03/21,24th Street Realty,"202, 203",West Campus,30-60 Days Post Paperwork Completion
Windtree ,106 E. 30th ,"$2,800",3,2,August-21,Metro Realty,304,North Campus,30-60 Days Post Paperwork Completion
2406 Rio Grande St,2406 Rio Grande St,"$2,800",3,3,08/06/21,PMT,133,West Campus,30-60 Days Post Paperwork Completion
3213 Harris Park Ave,3213 Harris Park Ave,"$2,795",2,1,08/07/21,Respace,House,North Campus,30-60 Days Post Paperwork Completion
704 W North Loop,704 W North Loop,"$2,795",4,2,08/07/21,Respace,A,North Loop,30-60 Days Post Paperwork Completion
Centennial ,501 W. 26th,"$2,775",3,2,August-21,Metro Realty,109,West Campus,30-60 Days Post Paperwork Completion
3207 Groom St,3207 Groom St,"$2,750",3,2,08/07/21,Copland/Said,4,North Campus,30-60 Days Post Paperwork Completion
2910 Pearl,2910 Pearl,"$2,750",3,2,08/04/21,Housing Scout,B,West Campus,30-60 Days Post Paperwork Completion
Texan Tower ,2505 San Gabriel,"$2,750",3,2,August-21,Metro Realty,603,West Campus,30-60 Days Post Paperwork Completion
305 E.31st (Speedway Condos),305 E. 31st ,"$2,750",3,2,August-21,Metro Realty,5,North Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,750",3,2,08/19/21,Austin Investments,105,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,750",3,2,08/19/21,Austin Investments,205,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,750",3,2,08/19/21,Austin Investments,305,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,750",3,2,08/19/21,Austin Investments,405,West Campus,30-60 Days Post Paperwork Completion
Waterford,2410 Leon,"$2,700",4,2,August-21,Metro Realty,302,West Campus,30-60 Days Post Paperwork Completion
Treehouse,2612 San Pedro,"$2,700",4,2,08/07/21,Uptown Realty,208,West Campus,30-60 Days Post Paperwork Completion
706 W North Loop,706 W North Loop,"$2,700",4,2,08/07/21,Respace,A,North Loop,30-60 Days Post Paperwork Completion
Rio Flats ,2822 Rio Grande,"$2,700",3,2,08/07/21,Copland/Said,301,West Campus,30-60 Days Post Paperwork Completion
Orange Tree,2529 Rio Grande,"$2,700",2,2.5,08/17/21,University Realty,49,West Campus,30-60 Days Post Paperwork Completion
Rio Flats ,2822 Rio Grande,"$2,700",3,2,08/07/21,Copland/Said,303,West Campus,30-60 Days Post Paperwork Completion
Rio Flats ,2822 Rio Grande,"$2,700",3,2,08/07/21,Copland/Said,202,West Campus,30-60 Days Post Paperwork Completion
Cenntenial,501 West 26th Street,"$2,700",3,2,08/13/21,Copland/Said,324,West Campus,30-60 Days Post Paperwork Completion
Orange Tree,2529 Rio Grande,"$2,700",3,2.5,08/10/21,Tower Realty,81,West Campus,30-60 Days Post Paperwork Completion
Orange Tree,2529 Rio Grande,"$2,700",3,2.5,08/10/21,Tower Realty,85,West Campus,30-60 Days Post Paperwork Completion
Grooms Place,3401 Grooms,"$2,700",3,2,08/07/21,Housing Scout,House,North Campus,30-60 Days Post Paperwork Completion
Grooms Place,3407 Grooms,"$2,700",3,2,08/07/21,Housing Scout,House,North Campus,30-60 Days Post Paperwork Completion
House/Duplex,1610 Waterston Ave Apt 13 ,"$2,700",3,2,08/13/21,512 Living,13,Clarksville,30-60 Days Post Paperwork Completion
Centennial,501 W. 26 St,"$2,700",3,2,08/07/21,UT Condo (Larry Wu),209,West Campus,30-60 Days Post Paperwork Completion
Galileo,910 W 25th St,"$2,700",3,2,08/05/21,512 Living,204,West Campus,30-60 Days Post Paperwork Completion
Galileo,910 W 25th St,"$2,700",3,2,08/05/21,512 Living,308,West Campus,30-60 Days Post Paperwork Completion
Waterford,2405 Leon St,"$2,700",3,2,08/15/21,Austin Evolution,305,West Campus,30-60 Days Post Paperwork Completion
Grooms Place,3409 Grooms,"$2,700",3,2,08/07/21,Housing Scout,House,North Campus,30-60 Days Post Paperwork Completion
Galileo At 25th,910 W. 25th St,"$2,700",3,2,08/05/21,VN Properties,205,West Campus,30-60 Days Post Paperwork Completion
1814 Ulit,1814 Ulit,"$2,695",4,2.5,08/06/21,Respace,A,East Campus,30-60 Days Post Paperwork Completion
Waterford,2401 Leon Street,"$2,695",4,2,08/07/21,Uptown Realty,307,West Campus,30-60 Days Post Paperwork Completion
905 W 30th St,905 W 30th St,"$2,695",3,3,08/08/21,UT Student Condos,B,North Campus,30-60 Days Post Paperwork Completion
4607 Avenue B #A,4607 Avenue B #A,"$2,695",3,2,08/07/21,Respace,A,Hyde Park,30-60 Days Post Paperwork Completion
2708 San Pedro,2708 San Pedro,"$2,650",3,2,08/07/21,Uptown Realty,101,West Campus,30-60 Days Post Paperwork Completion
Cenntenial,501 West 26th Street,"$2,600",3,2,08/10/21,Copland/Said,313,West Campus,30-60 Days Post Paperwork Completion
1111 E 2nd St,1111 E 2nd St,"$2,600",3,2,Immediate,Austin Manage,House,East Cesar Chavez,30-60 Days Post Paperwork Completion
2716 E 22nd,2716 E. 22nd,"$2,600",3,2,August-21,Metro Realty,A,East Austin,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,600",3,2,08/19/21,Austin Investments,101,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,600",3,2,08/19/21,Austin Investments,102,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,600",3,2,08/19/21,Austin Investments,103,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,600",3,2,08/19/21,Austin Investments,104,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,600",3,2,08/19/21,Austin Investments,202,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,600",3,2,08/19/21,Austin Investments,203,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,600",3,2,08/19/21,Austin Investments,204,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,600",3,2,08/19/21,Austin Investments,301,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,600",3,2,08/19/21,Austin Investments,302,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,600",3,2,08/19/21,Austin Investments,303,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,600",3,2,08/19/21,Austin Investments,304,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,600",3,2,08/19/21,Austin Investments,401,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,600",3,2,08/19/21,Austin Investments,402,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,600",3,2,08/19/21,Austin Investments,403,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,600",3,2,08/19/21,Austin Investments,404,West Campus,30-60 Days Post Paperwork Completion
Galileo At 25th,910 W. 25th St,"$2,600",3,2,08/05/21,VN Properties,204,West Campus,30-60 Days Post Paperwork Completion
3102 Wheeler St,3102 Wheeler St,"$2,600",3,1,August-21,Metro Realty,House,North Campus,30-60 Days Post Paperwork Completion
House/Duplex,5305 Roosevelt Ave Unit B ,"$2,600",2,2.5,07/22/21,512 Living,B,North Loop,30-60 Days Post Paperwork Completion
3111 E. 13st St,3111 E. 13st St,"$2,595",4,2,07/05/21,Respace,A,East Side,30-60 Days Post Paperwork Completion
3111 E. 13st St,3111 E. 13st St,"$2,595",4,2,07/05/21,Respace,B,East Side,30-60 Days Post Paperwork Completion
2502 Leon St,2502 Leon St,"$2,595",3,2,08/07/21,Respace,"501, 509, 517, 508",West Campus,30-60 Days Post Paperwork Completion
Towne Court,6704 Menchaca,"$2,595",3,2.5,Immediate,Austin Evolution,17,South Austin,30-60 Days Post Paperwork Completion
Delphi,706 W. 24 St,"$2,550",3,2.5,08/07/21,University Realty,205,West Campus,30-60 Days Post Paperwork Completion
Delphi,706 W. 24 St,"$2,550",3,2.5,08/07/21,University Realty,209,West Campus,30-60 Days Post Paperwork Completion
Galileo At 25th,910 W. 25th St,"$2,550",3,2,08/05/21,VN Properties,308,West Campus,30-60 Days Post Paperwork Completion
Waterford,2401 Leon Street,"$2,500",3,2,08/07/21,Copland/Said,206,West Campus,30-60 Days Post Paperwork Completion
Cenntenial,501 West 26th Street,"$2,500",3,2,06/01/21,Copland/Said,305,West Campus,30-60 Days Post Paperwork Completion
Orange Tree ,2529 Rio Grande,"$2,500",3,2.5,August-21,Metro Realty,20,West Campus,30-60 Days Post Paperwork Completion
2718 E. 22nd Street,2718 E. 22nd,"$2,500",3,2,August-21,Metro Realty,House,East Austin,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,500",3,2,08/19/21,Austin Investments,106,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,500",3,2,08/19/21,Austin Investments,108,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,500",3,2,08/19/21,Austin Investments,109,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,500",3,2,08/19/21,Austin Investments,207,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,500",3,2,08/19/21,Austin Investments,208,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,500",3,2,08/19/21,Austin Investments,209,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,500",3,2,08/19/21,Austin Investments,306,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,500",3,2,08/19/21,Austin Investments,307,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,500",3,2,08/19/21,Austin Investments,308,West Campus,30-60 Days Post Paperwork Completion
900 W 23rd St,900 W 23rd St,"$2,500",3,2,08/19/21,Austin Investments,407,West Campus,30-60 Days Post Paperwork Completion
Boardwalk at Robbins,1905 Robbins Place,"$2,500",2,2,07/25/22,Boardwalk at Robbins,506,West Campus,30-60 Days Post Paperwork Completion
1703 Rockbridge,1703 Rockbridge,"$2,495",3,2,08/07/21,Respace,House,Riverside,30-60 Days Post Paperwork Completion
2502 Leon St,2502 Leon St,"$2,495",3,2,08/07/21,Respace,510,West Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$2,495",3,2,08/12/21,Respace,206,West Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$2,495",3,2,08/12/21,Respace,210,West Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$2,495",3,2,08/12/21,Respace,306,West Campus,30-60 Days Post Paperwork Completion
San Remo Apts,2204 San Gabriel St,"$2,495",3,2.5,08/07/21,"Burlington Ventures, Inc.",3X2.5,West Campus,30-60 Days After Move-In
610 Genard #B,610 Genard #B,"$2,495",3,2,08/07/21,Respace,B,North Loop,30-60 Days Post Paperwork Completion
4612 Bennett Avenue,4612 Bennett Avenue,"$2,450",3,2,08/07/21,Copland/Said,A,Hyde Park,30-60 Days Post Paperwork Completion
4612 Bennett Avenue,4612 Bennett Avenue,"$2,450",3,2,08/07/21,Copland/Said,B,Hyde Park,30-60 Days Post Paperwork Completion
Somerset,2216 San Gabriel St,"$2,450",3,2,08/10/21,Tower Realty,301,West Campus,30-60 Days Post Paperwork Completion
Preservation Square,904 W 21st,"$2,450",3,2,08/10/21,Tower Realty,218,West Campus,30-60 Days Post Paperwork Completion
Centennial,501 W. 26 St,"$2,450",3,2,08/07/21,UT Condo (Larry Wu),315,West Campus,30-60 Days Post Paperwork Completion
Joesph's Corner,2824 Rio Grande,"$2,448",3,2,-,Joseph Companies,1,West Campus,30-60 Days Post Paperwork Completion
Joesph's Corner,2824 Rio Grande,"$2,448",3,2,-,Joseph Companies,2,West Campus,30-60 Days Post Paperwork Completion
Joesph's Corner,2824 Rio Grande,"$2,448",3,2,-,Joseph Companies,3,West Campus,30-60 Days Post Paperwork Completion
Joesph's Corner,2824 Rio Grande,"$2,448",3,2,-,Joseph Companies,4,West Campus,30-60 Days Post Paperwork Completion
Joesph's Corner,2824 Rio Grande,"$2,448",3,2,-,Joseph Companies,5,West Campus,30-60 Days Post Paperwork Completion
Joesph's Corner,2824 Rio Grande,"$2,448",3,2,-,Joseph Companies,6,West Campus,30-60 Days Post Paperwork Completion
Joesph's Corner,2824 Rio Grande,"$2,448",3,2,-,Joseph Companies,7,West Campus,30-60 Days Post Paperwork Completion
3213 Hampton Road,3213 Hampton Road,"$2,400",3,2,08/01/21,Copland/Said,B,North Campus,30-60 Days Post Paperwork Completion
4406 Avenue A ,4406 Avenue A ,"$2,400",3,2,08/07/21,Copland/Said,5,Hyde Park,30-60 Days Post Paperwork Completion
House/Duplex,2514 Hartford Rd ,"$2,400",3,2,08/04/21,512 Living,B,Tarrytown,30-60 Days Post Paperwork Completion
Centennial Condos,501 W 26th,"$2,400",3,2,08/01/21,Respace,111,West Campus,30-60 Days Post Paperwork Completion
Centennial,501 W. 26 St,"$2,400",3,2,08/07/21,UT Condo (Larry Wu),111,West Campus,30-60 Days Post Paperwork Completion
812.5 East 30th Street,812.5 East 30th Street,"$2,400",3,1,08/07/21,Copland/Said,House,North Campus,30-60 Days Post Paperwork Completion
1113 W 22 1/2 Street,1113 W 22 1/2 Street,"$2,400",2,2,-,Copland/Said,B,West Campus,30-60 Days Post Paperwork Completion
1914 David Street,1914 David Street,"$2,400",2,2,08/07/21,Copland/Said,B,West Campus,30-60 Days Post Paperwork Completion
1103 W 22nd,1103 W 22nd,"$2,395",3,1,08/07/21,Respace,B,West Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$2,395",3,2,08/12/21,Respace,607,West Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$2,395",3,2,08/12/21,Respace,609,West Campus,30-60 Days Post Paperwork Completion
404 Franklin B,404 Franklin B,"$2,395",3,2,08/07/21,Respace,B,North Loop,30-60 Days Post Paperwork Completion
4609 Avenue B #B,4609 Avenue B #B,"$2,395",3,2,08/07/21,Respace,A,Hyde Park,30-60 Days Post Paperwork Completion
12913 Marimba,12913 Marimba,"$2,395",4,2.5,07/07/21,Austin Manage,House,Indian Oaks,30-60 Days Post Paperwork Completion
403 E 35th,403 E 35th,"$2,350",3,1,08/10/21,Tower Realty,House,North Campus,30-60 Days Post Paperwork Completion
Delphi,706 W. 24 St,"$2,350",3,2.5,08/07/21,University Realty,102,West Campus,30-60 Days Post Paperwork Completion
416 W. 32nd Street,416 W. 32nd,"$2,350",3,1,August-21,Metro Realty,House,North Campus,30-60 Days Post Paperwork Completion
Orange Tree ,2529 Rio Grande,"$2,300",2,2,August-21,Metro Realty,34,West Campus,30-60 Days Post Paperwork Completion
Centennial ,501 W. 26th ,"$2,300",2,2,August-21,Metro Realty,106,West Campus,30-60 Days Post Paperwork Completion
Centennial,501 W. 26th ,"$2,300",2,2,August-21,Metro Realty,119,West Campus,30-60 Days Post Paperwork Completion
Centennial ,501 W. 26th ,"$2,300",2,2,August-21,Metro Realty,316,West Campus,30-60 Days Post Paperwork Completion
5504 Ave F,5504 Ave F,"$2,300",2,2.5,08/07/21,Uptown Realty,2,North Loop,30-60 Days Post Paperwork Completion
510 W 18th St,510 W 18th St,"$2,300",2,2,08/06/21,PMT,108,West Campus,30-60 Days Post Paperwork Completion
609 Nelray,609 Nelray,"$2,295",2,1,08/07/21,Respace,House,North Loop,30-60 Days Post Paperwork Completion
1410 Harvey,1410 Harvey,"$2,275",3,2,08/07/21,Respace,A,East Campus,30-60 Days Post Paperwork Completion
2712 Whitis,2712 Whitis,"$2,250",3,2,08/10/21,24th Street Realty,B,North Campus,30-60 Days Post Paperwork Completion
711 W 26th St,711 W 26th St,"$2,250",2,2,08/07/21,Copland/Said,601,West Campus,30-60 Days Post Paperwork Completion
2831 Pearl #1,2831 Pearl #1,"$2,250",2,1,08/07/21,Respace,1,West Campus,30-60 Days Post Paperwork Completion
Somerset Condos ,2216 San Gabriel,"$2,225",3,2,August-21,Metro Realty,201,West Campus,30-60 Days Post Paperwork Completion
Somerset Condos ,2216 San Gabriel,"$2,225",3,2,August-21,Metro Realty,"206, 306",West Campus,30-60 Days Post Paperwork Completion
Mattie Street,4112 Mattie Street,"$2,225",2,2,08/10/21,Austin Manage,House,Mueller,30-60 Days Post Paperwork Completion
House/Duplex,5409 Sunshine Dr,"$2,200",3,1.5,08/07/21,512 Living,House,North Loop,30-60 Days Post Paperwork Completion
615 West 37th,615 West 37th,"$2,200",3,1,08/19/21,University Realty,House,North Campus,30-60 Days Post Paperwork Completion
2825 San Gabriel #2,2825 San Gabriel,"$2,200",3,1,August-21,Metro Realty,"1, 2",West Campus,30-60 Days Post Paperwork Completion
